stock_id,year,60日均價(元),本季以來報酬率 %,class
3645,201703,33.6538,37.6176,1
3653,201703,52.817,34.1049,1
3661,201703,35.5932,57.7601,1
3665,201703,151.468,3.6037,1
3669,201703,19.9141,2.2501,1
3673,201703,73.99,78.9923,1
3679,201703,69.847,19.2092,1
3682,201703,15.565,-3.6715,0
3686,201703,22.94,-1.5256,0
3694,201703,14.72,3.2139,1
3701,201703,12.3593,-11.3505,0
3702,201703,32.198,0.2633,1
3703,201703,9.037,5.7413,1
3704,201703,15.53,12.0272,1
3705,201703,38.3384,-1.3146,0
3706,201703,17.9742,8.7096,1
3708,201703,64.9769,-2.0324,0
4104,201703,36.2526,1.8804,1
4106,201703,29.9526,-8.1238,0
4108,201703,29.4596,1.4728,1
4119,201703,63.1834,-1.5708,0
4133,201703,33.4025,-2.9936,0
4137,201703,126.274,-4.3193,0
4142,201703,23.25,-1.5317,0
4155,201703,.,13.53,1
4164,201703,37.5686,-3.6534,0
4190,201703,73.2426,-0.1188,0
4306,201703,11.505,11.0656,1
4414,201703,19.3267,6.7966,1
4426,201703,57.2144,-25.3953,0
4438,201703,127.631,18.75,1
4526,201703,20.6941,2.1075,1
4532,201703,27.0751,4.4305,1
4536,201703,92.3646,5.4727,1
4540,201703,.,54.6649,1
4545,201703,40.525,5.7993,1
4551,201703,123.964,-5.2629,0
4552,201703,77.0944,4.5048,1
4555,201703,54.1395,-0.825,0
4557,201703,59.8468,30.7691,1
4560,201703,.,8.743,1
4562,201703,.,8.2223,1
4564,201703,.,7.8677,1
4566,201703,.,45.1116,1
4720,201703,13.6555,-1.0102,0
4722,201703,25.7019,3.1063,1
4737,201703,50.1419,25.0447,1
4739,201703,41.5266,25.5422,1
4746,201703,84.8479,-11.2225,0
4755,201703,24.4688,4.7619,1
4763,201703,110.594,33.0509,1
4764,201703,.,2.1776,1
4807,201703,.,-13.1065,0
4904,201703,60.5256,2.7587,1
4906,201703,23.1299,14.2248,1
4912,201703,82.1255,46.5739,1
4915,201703,38.2029,12.8118,1
4916,201703,26.4923,13.465,1
4919,201703,34.4342,12.2736,1
4927,201703,26.9759,-1.8182,0
4930,201703,12.0837,12.3077,1
4934,201703,25.6992,1.0382,1
4935,201703,54.2298,-23.8504,0
4938,201703,63.2043,16.6233,1
4942,201703,21.1404,-2.2599,0
4943,201703,56.5051,113.5,1
4952,201703,29.7915,10.0404,1
4956,201703,21.25,19.7012,1
4958,201703,60.6258,11.7556,1
4960,201703,13.57,-3.6629,0
4961,201703,.,0.6596,1
4967,201703,.,141.478,1
4968,201703,58.4098,39.1991,1
4976,201703,27.28,25.625,1
4977,201703,66.9488,-7.7649,0
4994,201703,66.737,-5.007,0
4999,201703,42.3553,5.3131,1
5007,201703,43.6903,-3.2781,0
5203,201703,60.8297,-14.8199,0
5215,201703,23.6332,17.4597,1
5222,201703,67.8948,47.5412,1
5225,201703,28.245,5.4316,1
5234,201703,29.227,15.7967,1
5243,201703,36.1024,22.5515,1
5244,201703,7.03,4.9355,1
5258,201703,38.2,-3.4563,0
5269,201703,283.536,18.5186,1
5283,201703,.,9.1507,1
5284,201703,49.1965,7.5971,1
5285,201703,30.2509,5.263,1
5288,201703,68.7027,4.6368,1
5306,201703,110.204,31.2779,1
5388,201703,66.5738,-1.4266,0
5434,201703,73.4302,17.2986,1
5469,201703,15.7722,3.4091,1
5471,201703,26.7381,2.1876,1
5484,201703,10.56,-8.7155,0
5515,201703,7.3705,6.7892,1
5519,201703,8.9929,21.5314,1
5521,201703,10.427,41.1286,1
5522,201703,27.0776,11.0961,1
5525,201703,10.4505,1.7604,1
5531,201703,9.82,8.6957,1
5533,201703,13.4344,-0.6251,0
5534,201703,50.2894,16.3521,1
5538,201703,22.8465,1.8803,1
5607,201703,12.9736,1.7421,1
5608,201703,9.99,24.0089,1
5706,201703,25.8373,8.7461,1
5871,201703,50.0378,28.675,1
5876,201703,.,14.487,1
5880,201703,10.9927,7.4734,1
5906,201703,12.07,-10.6667,0
5907,201703,18.8057,12.037,1
6005,201703,7.6508,3.7153,1
6024,201703,25.4279,-1.2413,0
6108,201703,21.9047,15.5395,1
6112,201703,18.2729,10.8406,1
6115,201703,33.9614,11.5729,1
6116,201703,7.04,6.2339,1
6117,201703,14.08,26.515,1
6120,201703,13.04,10.9808,1
6128,201703,32.5465,1.4323,1
6133,201703,8.3988,0.2164,1
6136,201703,18.1576,5.8701,1
6139,201703,30.1172,-3.4668,0
6141,201703,11.9865,48.3251,1
6142,201703,7.4503,59.3446,1
6152,201703,10.12,3.1031,1
6153,201703,16.9154,10.5851,1
6155,201703,16.1228,4.0002,1
6164,201703,12.73,-1.0383,0
6165,201703,25.41,170.455,1
6166,201703,62.4491,10.9655,1
6168,201703,9.513,2.7645,1
6172,201703,11.6764,24.091,1
6176,201703,45.5299,13.5228,1
6177,201703,13.6034,22.5638,1
6183,201703,22.6608,9.9416,1
6184,201703,27.061,3.6754,1
6189,201703,23.6788,5.9016,1
6191,201703,11.2303,8.4332,1
6192,201703,45.2977,3.2261,1
6196,201703,27.4568,27.6104,1
6197,201703,29.6297,15.0179,1
6201,201703,23.8393,14.4009,1
6202,201703,41.0665,8.9993,1
6205,201703,28.7757,28.1572,1
6206,201703,78.7899,6.8011,1
6209,201703,23.69,37.1637,1
6213,201703,33.8903,34.9847,1
6214,201703,46.7583,10.8435,1
6215,201703,11.1773,6.1226,1
6216,201703,24.1744,13.9262,1
6224,201703,44.0198,4.7945,1
6225,201703,3.5407,-13.2393,0
6226,201703,7.2436,54.8676,1
6230,201703,125.22,5.2434,1
6235,201703,17.5763,5.7935,1
6239,201703,72.413,1.4942,1
6243,201703,14.82,3.5587,1
6251,201703,10.0789,7.4035,1
6257,201703,20.421,18.8841,1
6269,201703,75.3848,24.4105,1
6271,201703,137.519,21.818,1
6277,201703,59.8836,6.6089,1
6278,201703,24.0777,4.9241,1
6281,201703,49.0836,-0.4674,0
6525,201703,38.578,23.0478,1
