stock_id,year,營業毛利率,營業利益率,ROA(A)稅後息前,ROE(A)－稅後,流動比率,負債比率,總資產週轉次數,應收帳款週轉次數,季底每股稅後淨利,每股淨值(C),當季季底P/E,當季季底P/B,當季季底PSR
1727,201703,11.27,3.35,0.55,0.8,128.49,39.32,0.23,0.87,0.1,13.17,15.12,1.06,0.71
1730,201703,45.88,11.99,2.57,3.77,378.62,30.5,0.26,1.13,0.74,19.98,8.9,1.99,1.12
1731,201703,44.33,9.99,0.86,1.23,221.43,32.2,0.15,0.55,0.16,13.14,17.87,1.06,1.26
1732,201703,38.19,-2.27,-0.58,-0.81,278.01,25.56,0.25,1.38,-0.08,9.63,.,1.35,0.98
1733,201703,17.78,3.45,-1.49,-2.28,341.41,33.12,0.17,1.28,-0.39,16.95,39.72,2.3,2.28
1734,201703,36.1,-5.94,-0.64,-1.16,260.23,38.33,0.08,1.01,-0.05,18.15,.,1.34,1.9
1735,201703,13.28,3.03,0.16,0.12,132.99,51.71,0.28,0.98,0.02,14.14,13.1,0.91,0.41
1736,201703,46.31,-2.35,-0.16,-0.71,139.95,63.73,0.2,0.7,-0.2,26.4,14.12,1.71,0.68
1737,201703,41.93,16.4,0.93,1.1,688.71,14.78,0.09,3.54,0.33,30.28,16.12,1,2.18
1752,201703,34.98,12.22,2.08,3.02,151.33,30.98,0.11,1.04,0.64,21.67,15.96,1.94,2.84
1760,201703,62.95,18.98,2.9,4.25,228.47,31.87,0.23,1.05,0.51,13.4,32.49,5.72,4.44
1762,201703,30.39,0.28,-0.39,-0.67,117.97,33.79,0.1,1.87,-0.15,22.72,36.04,1.19,1.75
1773,201703,26.72,14.53,3.65,4.59,283.01,20.35,0.31,1.76,1.32,29.35,9.93,2.21,1.52
1776,201703,17.46,3.82,0.36,0.52,239.57,36.95,0.23,1.04,0.02,16.84,12.18,1.36,0.81
1783,201703,38.45,1.35,-0.28,-0.51,754.79,27.94,0.09,0.88,-0.06,11.18,.,2.05,4.35
1786,201703,51.5,1.82,-0.1,-0.24,205.07,33.88,0.04,1.41,-0.04,17.27,.,3.04,11.7
1789,201703,51.16,24.07,1.41,1.65,393.51,19.41,0.07,1.44,0.22,13.62,41.09,3.18,8.38
1795,201703,46.82,5.6,-0.15,-0.88,232.25,46.49,0.09,1.21,-0.3,31.41,.,1.8,2.28
1802,201703,16.08,4.18,0.16,-0.05,92.36,44.16,0.12,1.21,0,14.53,.,1.2,1.17
1805,201703,4.13,-1066.6,-1.06,-2.32,177.77,55.3,0,0.23,-0.21,9.08,.,1.1,26.74
